Employee,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,AnlExp,Salary
1,3,1,3,26,Male,1,No,37846
2,1,1,14,38,Female,1,No,50363
3,1,1,12,35,Female,0,No,43568
4,2,1,8,40,Female,7,No,34709
5,3,1,3,28,Male,0,No,36252
6,3,1,3,24,Female,0,No,38999
7,3,1,4,27,Female,0,No,35658
8,3,1,8,33,Male,2,No,40296
9,1,1,4,62,Female,0,No,39136
10,3,1,9,31,Female,0,No,34035
11,3,1,9,34,Female,2,No,34827
12,2,1,8,37,Female,8,No,33916
13,2,1,9,37,Female,0,Yes,34728
14,2,1,10,58,Female,6,No,38698
15,3,1,4,33,Female,0,No,39003
16,3,1,3,27,Female,0,No,34477
17,3,1,6,30,Female,0,No,39200
18,2,1,8,37,Female,9,No,47009
19,3,1,5,44,Female,6,No,42846
20,2,1,4,29,Female,3,No,38599
21,3,1,4,36,Female,2,No,45911
22,2,1,3,28,Male,3,No,47243
23,1,1,5,45,Female,0,No,39884
24,2,1,3,33,Male,4,No,41702
25,3,1,3,24,Male,1,No,51685
26,3,1,3,27,Male,1,No,42770
27,2,1,16,60,Female,6,No,43412
28,1,1,13,48,Female,0,No,41974
29,1,1,12,40,Female,6,No,41174
30,2,1,4,33,Female,7,Yes,52165
31,1,1,7,35,Female,4,No,43820
32,1,1,11,44,Female,0,No,42535
33,3,1,3,43,Male,8,No,41978
34,2,1,18,46,Female,2,No,46559
35,2,1,14,42,Female,0,No,42904
36,1,1,19,47,Female,0,No,41261
37,3,1,3,25,Female,2,No,43939
38,2,1,2,30,Female,4,No,42953
39,1,1,11,40,Female,0,No,43791
40,3,1,3,26,Male,2,Yes,49358
41,3,1,5,32,Female,1,No,45220
42,1,1,15,51,Female,0,No,48836
43,5,1,7,35,Female,0,No,43715
44,3,1,12,37,Female,1,No,41935
45,1,1,18,44,Female,0,No,46998
46,1,1,17,53,Male,3,No,43842
47,1,1,10,40,Female,0,No,46437
48,3,1,5,51,Male,10,Yes,48277
49,1,1,15,42,Female,0,No,45467
50,2,1,2,53,Female,0,No,44802
51,1,1,3,58,Male,3,No,40689
52,1,1,4,44,Female,10,No,40131
53,2,1,7,31,Female,0,Yes,47192
54,1,1,8,64,Female,0,No,49971
55,3,1,15,47,Female,1,No,45331
56,3,1,9,37,Female,0,No,45203
57,2,1,16,46,Female,0,No,48051
58,1,1,8,55,Female,0,No,45111
59,1,1,9,39,Female,0,No,43894
60,3,1,18,51,Female,0,No,47276
61,2,2,3,37,Female,8,No,42756
62,2,2,6,30,Male,3,No,44567
63,3,2,4,26,Female,0,No,45733
64,5,2,5,41,Female,1,No,47629
65,3,2,4,34,Female,4,No,39838
66,2,2,7,57,Male,4,No,41471
67,1,2,11,53,Female,8,Yes,50955
68,3,2,5,32,Female,4,No,42952
69,1,2,17,44,Female,5,No,43621
70,3,2,3,25,Male,1,No,41949
71,1,2,5,31,Female,9,No,40758
72,1,2,9,50,Female,0,No,51801
73,5,2,3,47,Female,3,No,43909
74,3,2,4,35,Male,0,No,42463
75,2,2,16,43,Female,0,No,41634
76,2,2,9,46,Female,10,No,46632
77,5,2,3,35,Male,0,No,42697
78,3,2,4,22,Male,0,No,41322
79,2,2,8,58,Female,0,No,43350
80,5,2,8,40,Female,0,No,43286
81,3,2,6,30,Female,0,No,43874
82,5,2,4,29,Female,4,Yes,48984
83,1,2,3,31,Female,9,No,44518
84,2,2,12,52,Male,18,No,48809
85,5,2,3,33,Male,5,No,43880
86,1,2,8,49,Female,0,No,42023
87,2,2,6,34,Female,7,No,47011
88,5,2,3,26,Male,1,No,43844
89,5,2,4,28,Male,0,No,46599
90,5,2,3,35,Female,2,Yes,48101
91,1,2,15,47,Female,1,No,45227
92,1,2,15,51,Female,0,No,44401
93,3,2,3,26,Male,2,No,40667
94,3,2,12,33,Female,0,No,40060
95,4,2,2,27,Male,2,Yes,47540
96,5,2,8,34,Female,0,No,50260
97,4,2,5,29,Female,0,No,45592
98,3,2,5,27,Male,0,No,45017
99,1,2,11,43,Female,0,No,48064
100,3,2,4,36,Female,3,Yes,48175
101,1,2,9,38,Female,0,No,45495
102,2,2,14,60,Female,0,No,44268
103,3,3,4,43,Female,5,Yes,58100
104,2,3,15,48,Female,5,No,51394
105,5,3,7,32,Female,3,No,49561
106,3,3,5,31,Male,0,No,50692
107,5,3,7,29,Female,2,No,51252
108,3,3,7,35,Female,0,No,52310
109,3,3,4,37,Female,12,No,55974
110,2,3,10,43,Female,0,No,50779
111,3,3,5,33,Female,5,No,54798
112,4,3,11,58,Female,4,Yes,56444
113,3,3,9,44,Female,7,No,57523
114,3,3,4,37,Female,8,Yes,60920
115,5,3,5,48,Female,6,No,49975
116,5,3,4,26,Male,0,No,56744
117,3,3,5,25,Female,0,No,52885
118,4,3,6,38,Female,0,No,50105
119,3,3,6,41,Female,0,No,54703
120,3,3,5,29,Male,0,No,51126
121,2,3,9,59,Female,0,No,48568
122,2,3,5,29,Male,4,No,51439
123,3,3,3,27,Female,2,Yes,52933
124,5,3,4,30,Female,0,No,54345
125,2,3,7,34,Female,5,No,51773
126,3,3,8,35,Female,2,No,47834
127,2,3,12,50,Female,6,No,52119
128,5,3,3,33,Female,1,No,47641
129,3,3,4,26,Female,0,No,51112
130,5,3,3,36,Female,0,No,49959
131,5,3,3,33,Female,5,Yes,58830
132,3,3,8,47,Female,0,No,48393
133,1,3,21,51,Female,0,No,50504
134,1,3,16,42,Female,6,Yes,57315
135,5,3,5,31,Male,0,No,54646
136,2,3,25,62,Female,10,No,58530
137,5,3,6,46,Male,1,No,56880
138,3,3,21,60,Female,9,No,55199
139,4,3,6,43,Male,5,No,58558
140,1,3,25,53,Female,2,No,55963
141,3,3,13,38,Female,1,No,54470
142,5,3,6,39,Female,5,No,59792
143,5,3,7,35,Female,0,No,59302
144,4,3,8,40,Female,3,No,53283
145,5,3,5,32,Female,3,No,53634
146,5,4,5,33,Male,3,No,64563
147,5,4,4,30,Male,1,No,60969
148,5,4,6,37,Male,3,No,63781
149,5,4,6,30,Male,0,No,63781
150,5,4,5,32,Female,4,No,62781
151,5,4,7,37,Female,3,No,60046
152,5,4,5,29,Male,1,Yes,64437
153,1,4,13,50,Female,9,No,55449
154,5,4,6,29,Male,0,No,62470
155,5,4,7,32,Female,0,No,64284
156,5,4,6,31,Male,2,No,64855
157,2,4,15,47,Female,4,No,64688
158,3,4,17,44,Female,0,No,57818
159,5,4,4,27,Male,0,No,61713
160,1,4,23,55,Male,0,No,65632
161,3,4,5,52,Male,4,No,62793
162,5,4,3,50,Female,12,No,63997
163,3,4,19,59,Female,8,Yes,74135
164,3,4,26,47,Female,0,No,64679
165,3,4,6,43,Male,4,No,66605
166,5,4,15,41,Female,0,No,63631
167,1,4,12,39,Female,4,Yes,67828
168,5,4,9,39,Female,0,No,62789
169,3,4,14,40,Female,1,Yes,68279
170,3,4,16,49,Female,0,No,61672
171,2,4,16,53,Female,1,No,65265
172,3,4,11,37,Female,0,Yes,64550
173,2,4,13,40,Female,2,Yes,71112
174,5,5,7,34,Male,0,No,72707
175,5,5,8,37,Female,0,No,79394
176,5,5,8,31,Male,0,Yes,72098
177,5,5,6,41,Male,10,No,72167
178,3,5,17,46,Female,4,Yes,78241
179,5,5,8,37,Male,2,Yes,73787
180,5,5,8,33,Male,0,No,73619
181,3,5,8,35,Female,5,Yes,70381
182,5,5,16,49,Female,5,No,77621
183,5,5,6,33,Male,2,Yes,72413
184,5,5,7,31,Male,0,No,72973
185,5,5,8,49,Male,4,No,71376
186,5,5,12,40,Female,2,Yes,86384
187,5,5,9,37,Female,2,Yes,74773
188,5,5,12,46,Female,2,Yes,86947
189,4,5,16,43,Female,0,No,79324
190,5,5,11,36,Male,1,Yes,72046
191,5,5,9,37,Female,6,No,83631
192,5,5,16,40,Male,7,Yes,80062
193,3,5,24,54,Male,3,No,81874
194,5,5,17,57,Male,1,No,82135
195,5,6,14,49,Male,6,Yes,90106
196,3,6,13,41,Male,6,No,103738
197,5,6,19,59,Male,4,No,109012
198,5,6,12,51,Male,0,Yes,129169
199,5,6,20,45,Male,0,No,95073
200,5,6,20,56,Male,1,Yes,108301
201,5,6,22,57,Male,0,No,98295
202,4,6,21,53,Male,8,No,99877
203,5,6,39,65,Male,9,No,103839
204,3,6,34,60,Male,5,No,124996
205,5,6,36,61,Male,0,No,127382
206,5,6,32,62,Male,0,No,117988
207,5,6,35,59,Male,11,No,123638
208,5,6,33,62,Female,0,No,101234
