Date,USGDP
1/1/1947,58497
4/1/1947,60672
7/1/1947,62196
10/1/1947,68250
1/1/1948,64258
4/1/1948,66539
7/1/1948,69378
10/1/1948,74295
1/1/1949,66185
4/1/1949,66340
7/1/1949,68625
10/1/1949,71322
1/1/1950,68032
4/1/1950,70872
7/1/1950,77178
10/1/1950,83746
1/1/1951,81603
4/1/1951,84645
7/1/1951,87586
10/1/1951,93076
1/1/1952,87610
4/1/1952,88913
7/1/1952,91270
10/1/1952,99548
1/1/1953,94008
4/1/1953,97392
7/1/1953,96695
10/1/1953,101121
1/1/1954,93581
4/1/1954,96090
7/1/1954,96905
10/1/1954,103980
1/1/1955,99833
4/1/1955,104406
7/1/1955,107058
10/1/1955,114181
1/1/1956,106892
4/1/1956,110356
7/1/1956,111816
10/1/1956,120287
1/1/1957,113459
4/1/1957,117125
7/1/1957,119108
10/1/1957,124349
1/1/1958,113202
4/1/1958,117802
7/1/1958,120079
10/1/1958,130149
1/1/1959,123707
4/1/1959,131641
7/1/1959,130194
10/1/1959,136112
1/1/1960,131022
4/1/1960,136488
7/1/1960,135021
10/1/1960,139850
1/1/1961,132138
4/1/1961,140168
7/1/1961,140509
10/1/1961,149394
1/1/1962,144274
4/1/1962,150952
7/1/1962,150614
10/1/1962,158078
1/1/1963,150949
4/1/1963,158886
7/1/1963,159597
10/1/1963,168017
1/1/1964,162413
4/1/1964,170097
7/1/1964,171593
10/1/1964,180356
1/1/1965,173462
4/1/1965,183818
7/1/1965,185525
10/1/1965,199483
1/1/1966,191022
4/1/1966,201635
7/1/1966,203439
10/1/1966,217316
1/1/1967,204098
4/1/1967,213246
7/1/1967,214456
10/1/1967,228140
1/1/1968,218405
4/1/1968,234781
7/1/1968,235737
10/1/1968,251704
1/1/1969,238912
4/1/1969,254764
7/1/1969,255302
10/1/1969,268638
1/1/1970,253998
4/1/1970,268532
7/1/1970,268019
10/1/1970,282764
1/1/1971,273782
4/1/1971,291216
7/1/1971,291043
10/1/1971,308808
1/1/1972,299204
4/1/1972,318894
7/1/1972,319052
10/1/1972,341962
1/1/1973,333807
4/1/1973,354356
7/1/1973,354349
10/1/1973,382865
1/1/1974,361840
4/1/1974,384120
7/1/1974,385975
10/1/1974,413310
1/1/1975,391688
4/1/1975,414253
7/1/1975,423323
10/1/1975,455641
1/1/1976,441178
4/1/1976,465343
7/1/1976,466535
10/1/1976,500358
1/1/1977,481996
4/1/1977,515010
7/1/1977,526844
10/1/1977,557979
1/1/1978,534990
4/1/1978,583171
7/1/1978,596032
10/1/1978,637402
1/1/1979,618499
4/1/1979,648326
7/1/1979,658706
10/1/1979,701800
1/1/1980,683564
4/1/1980,698570
7/1/1980,707671
10/1/1980,767505
1/1/1981,758799
4/1/1981,791530
7/1/1981,811659
10/1/1981,845052
1/1/1982,803715
4/1/1982,831458
7/1/1982,834528
10/1/1982,874081
1/1/1983,850380
4/1/1983,895388
7/1/1983,916516
10/1/1983,971755
1/1/1984,962905
4/1/1984,1002687
7/1/1984,1011924
10/1/1984,1060096
1/1/1985,1033006
4/1/1985,1073981
7/1/1985,1090905
10/1/1985,1141088
1/1/1986,1104498
4/1/1986,1138030
7/1/1986,1148813
10/1/1986,1188288
1/1/1987,1148876
4/1/1987,1205023
7/1/1987,1218373
10/1/1987,1282952
1/1/1988,1236534
4/1/1988,1297399
7/1/1988,1319724
10/1/1988,1382783
1/1/1989,1346036
4/1/1989,1405607
7/1/1989,1418867
10/1/1989,1471062
1/1/1990,1434375
4/1/1990,1490965
7/1/1990,1499694
10/1/1990,1538100
1/1/1991,1475270
4/1/1991,1532427
7/1/1991,1548990
10/1/1991,1601443
1/1/1992,1554707
4/1/1992,1619581
7/1/1992,1640744
10/1/1992,1705290
1/1/1993,1638139
4/1/1993,1701841
7/1/1993,1724719
10/1/1993,1793877
1/1/1994,1736467
4/1/1994,1809582
7/1/1994,1837424
10/1/1994,1903763
1/1/1995,1835147
4/1/1995,1897424
7/1/1995,1922827
10/1/1995,1984353
1/1/1996,1925313
4/1/1996,2005112
7/1/1996,2035152
10/1/1996,2107553
1/1/1997,2043518
4/1/1997,2129626
7/1/1997,2166497
10/1/1997,2237911
1/1/1998,2160749
4/1/1998,2249930
7/1/1998,2281444
10/1/1998,2370698
1/1/1999,2293218
4/1/1999,2388561
7/1/1999,2423833
10/1/1999,2525048
1/1/2000,2449139
4/1/2000,2569476
7/1/2000,2578060
10/1/2000,2655679
1/1/2001,2562436
4/1/2001,2656364
7/1/2001,2651331
10/1/2001,2711685
1/1/2002,2631502
4/1/2002,2724224
7/1/2002,2753434
10/1/2002,2827263
1/1/2003,2744149
4/1/2003,2832509
7/1/2003,2887132
10/1/2003,2994460
1/1/2004,2922104
4/1/2004,3033260
7/1/2004,3068978
10/1/2004,3189392
1/1/2005,3109156
4/1/2005,3231134
7/1/2005,3305748
10/1/2005,3390598
1/1/2006,3334041
4/1/2006,3462006
7/1/2006,3463172
10/1/2006,3555390
1/1/2007,3479565
4/1/2007,3610965
7/1/2007,3630580
10/1/2007,3730752
1/1/2008,3643352
4/1/2008,3704567
7/1/2008,3682872
10/1/2008,3682056
1/1/2009,3510967
4/1/2009,3593534
7/1/2009,3617046
10/1/2009,3727386
1/1/2010,3592249
4/1/2010,3744069
7/1/2010,3778575
10/1/2010,3877159
1/1/2011,3748311
4/1/2011,3881126
7/1/2011,3913784
10/1/2011,3999363
1/1/2012,3947585
4/1/2012,4036139
7/1/2012,4071213
10/1/2012,4142070
1/1/2013,4049584
4/1/2013,4163863
7/1/2013,4234415
10/1/2013,4336990
1/1/2014,4193475
4/1/2014,4355448
7/1/2014,4449960
10/1/2014,4528375
1/1/2015,4381185
4/1/2015,4563206
7/1/2015,4614948
10/1/2015,4665441
1/1/2016,4488764
4/1/2016,4678299
7/1/2016,4734573
10/1/2016,4813405
1/1/2017,4649728
4/1/2017,4863682
7/1/2017,4940866
10/1/2017,5065149
1/1/2018,4917129
4/1/2018,5141726
7/1/2018,5209973
10/1/2018,5311394
1/1/2019,5148400
4/1/2019,5360917
7/1/2019,5404652
10/1/2019,5517583
