"","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","HasMortgage","HasDependents","HasCoSigner","Default","edBachelor.s","edHigh.School","edMaster.s","edPhD","emptypeFull.time","emptypePart.time","emptypeSelf.employed","emptypeUnemployed","maritalDivorced","maritalMarried","maritalSingle","loanpurpAuto","loanpurpBusiness","loanpurpEducation","loanpurpHome","loanpurpOther"
"120168",66,53538,223894,307,56,3,22.99,60,0.85,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"62075",31,147451,96989,691,3,4,10.01,12,0.23,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"44210",30,135211,209896,343,17,3,13.62,36,0.56,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"92518",27,68282,43020,455,42,2,12.23,36,0.83,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"49137",27,24342,239285,704,6,4,19.34,36,0.34,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"254971",22,17785,236995,529,84,2,24.32,24,0.86,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"17648",35,81693,11722,322,20,2,6.2,36,0.19,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"63918",34,120592,244683,478,12,3,22.55,24,0.76,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"122946",30,40981,243225,442,6,1,8.62,36,0.24,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"179418",33,35744,58282,818,9,1,24.37,60,0.77,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"91922",22,98483,245675,369,27,4,16.79,60,0.16,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"116241",23,130697,238496,302,76,2,6.9,60,0.36,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"235342",52,133288,187862,442,86,1,24.97,12,0.43,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"124989",20,145049,112784,396,9,3,23.28,48,0.47,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"222041",23,126943,210846,490,82,3,23.82,36,0.45,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
