"","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","HasMortgage","HasDependents","HasCoSigner","Default","edBachelor.s","edHigh.School","edMaster.s","edPhD","emptypeFull.time","emptypePart.time","emptypeSelf.employed","emptypeUnemployed","maritalDivorced","maritalMarried","maritalSingle","loanpurpAuto","loanpurpBusiness","loanpurpEducation","loanpurpHome","loanpurpOther"
"41623",63,74492,99585,756,95,1,3.57,48,0.41,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"217682",42,115312,242065,315,81,4,6.22,36,0.67,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
"205742",28,64101,156057,708,85,2,19.51,36,0.2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"55817",45,148728,92333,358,59,3,3.63,60,0.85,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"165259",29,127178,153022,802,59,1,10.79,60,0.63,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"162275",35,112786,176576,451,83,2,6.99,12,0.28,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"234559",43,26132,230443,638,51,4,13.75,48,0.85,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"92752",57,63874,215242,532,108,2,10.92,60,0.6,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"70537",39,130951,118563,735,108,3,8.77,12,0.74,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"44166",18,32615,198582,526,28,2,18.69,60,0.25,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"71057",43,139126,211839,836,118,3,12.75,60,0.83,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"150274",39,61136,73490,758,106,3,22.51,36,0.87,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"170778",22,120789,51855,790,52,2,15.29,36,0.19,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"171275",62,119456,128225,651,100,1,9.18,24,0.42,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"12482",30,46371,39244,657,61,3,5.61,36,0.87,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"69150",20,87721,201593,498,105,4,3.32,12,0.16,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"227811",26,34261,12968,304,8,3,21.85,12,0.63,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"248768",26,55660,63578,459,20,2,17.09,24,0.1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"236478",54,17194,125162,470,33,4,21.4,60,0.76,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"73569",19,35411,212722,553,104,1,4.29,48,0.13,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"17821",48,66410,21499,444,83,3,3.27,36,0.88,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"128770",52,66818,5253,814,23,2,3.86,24,0.21,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"186907",67,34460,196358,717,11,1,22.21,48,0.57,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"33741",69,136990,15458,624,14,4,10.65,24,0.52,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"139034",28,46721,74004,827,61,4,4.35,24,0.38,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"113559",52,72610,221747,841,57,4,20.02,12,0.2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"92171",45,50292,117896,419,64,2,14.29,48,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"190098",38,41465,86237,349,23,2,24.63,48,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"169784",40,22152,248854,783,90,2,2.21,48,0.63,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"36092",33,36043,32339,732,106,2,9.01,48,0.21,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"221069",65,136281,157428,698,26,3,5.76,60,0.21,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"245996",22,141044,117053,446,43,2,3.61,12,0.65,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"202090",21,40823,245029,672,78,1,19.34,24,0.54,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"247403",35,131828,236957,680,63,3,22.96,36,0.72,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"49571",41,69549,98470,480,53,1,16.79,48,0.44,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"92822",48,24867,32363,803,108,2,3.7,24,0.53,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"115139",50,55265,81644,821,73,2,7.35,36,0.35,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"231579",50,104661,106473,810,73,2,20,48,0.26,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"139539",60,17809,243551,378,37,4,8.54,60,0.63,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"230358",25,116997,63684,390,101,2,8.04,24,0.13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"94062",21,125826,18408,560,71,4,13.64,48,0.86,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"255302",33,65515,171841,792,7,1,18.46,60,0.55,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"195580",28,136036,185573,308,113,2,20.25,36,0.34,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"133787",53,106494,17848,349,106,1,8.16,24,0.6,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"19070",60,111423,92540,542,101,2,8.93,12,0.15,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
