Market,Msize,Store,Age,Promo,Week,Sales
1,Medium,4,1,2,1,39.3
1,Medium,4,1,2,2,32.9
1,Medium,4,1,2,3,50
1,Medium,4,1,2,4,44.5
1,Medium,4,1,2,5,31.9
1,Medium,5,10,2,1,48.2
1,Medium,5,10,2,2,45.4
1,Medium,5,10,2,3,50.3
1,Medium,5,10,2,4,45.7
1,Medium,5,10,2,5,40.9
1,Medium,6,10,3,1,49.5
1,Medium,6,10,3,2,47
1,Medium,6,10,3,3,44.8
1,Medium,6,10,3,4,47.3
1,Medium,6,10,3,5,47.6
1,Medium,7,15,1,1,48.3
1,Medium,7,15,1,2,48.8
1,Medium,7,15,1,3,41.8
1,Medium,7,15,1,4,52.5
1,Medium,7,15,1,5,45.6
1,Medium,8,10,2,1,56.3
1,Medium,8,10,2,2,47.7
1,Medium,8,10,2,3,52.5
1,Medium,8,10,2,4,48
1,Medium,8,10,2,5,41.1
1,Medium,9,6,1,1,34.4
1,Medium,9,6,1,2,43.9
1,Medium,9,6,1,3,40.9
1,Medium,9,6,1,4,44
1,Medium,9,6,1,5,38.4
1,Medium,10,5,2,1,37.8
1,Medium,10,5,2,2,42.7
1,Medium,10,5,2,3,38.5
1,Medium,10,5,2,4,41.8
1,Medium,10,5,2,5,44.3
1,Medium,11,5,3,1,42.7
1,Medium,11,5,3,2,41.3
1,Medium,11,5,3,3,45.9
1,Medium,11,5,3,4,41.1
1,Medium,11,5,3,5,38.1
1,Medium,12,12,1,1,42.2
1,Medium,12,12,1,2,45.6
1,Medium,12,12,1,3,50.3
1,Medium,12,12,1,4,41.3
1,Medium,12,12,1,5,43.3
1,Medium,13,12,1,1,45.7
1,Medium,13,12,1,2,51.2
1,Medium,13,12,1,3,52.6
1,Medium,13,12,1,4,44.7
1,Medium,13,12,1,5,42.8
2,Small,103,22,2,1,55.9
2,Small,103,22,2,2,67.5
2,Small,103,22,2,3,63.6
2,Small,103,22,2,4,67.8
2,Small,103,22,2,5,58.9
2,Small,104,19,3,1,61.8
2,Small,104,19,3,2,52.7
2,Small,104,19,3,3,58.9
2,Small,104,19,3,4,62.3
2,Small,104,19,3,5,53.3
2,Small,105,8,3,1,41.3
2,Small,105,8,3,2,52.1
2,Small,105,8,3,3,47.1
2,Small,105,8,3,4,45.9
2,Small,105,8,3,5,40.7
2,Small,106,5,3,1,41.4
2,Small,106,5,3,2,45.8
2,Small,106,5,3,3,47.1
2,Small,106,5,3,4,40.5
2,Small,106,5,3,5,39.2
3,Large,201,4,3,1,31.1
3,Large,201,4,3,2,40
3,Large,201,4,3,3,30.5
3,Large,201,4,3,4,32.5
3,Large,201,4,3,5,30.1
3,Large,205,19,3,1,48.8
3,Large,205,19,3,2,50.3
3,Large,205,19,3,3,46.8
3,Large,205,19,3,4,48.9
3,Large,205,19,3,5,43.1
3,Large,206,11,3,1,40.7
3,Large,206,11,3,2,41.4
3,Large,206,11,3,3,43.5
3,Large,206,11,3,4,42.7
3,Large,206,11,3,5,47.7
3,Large,207,1,3,1,34
3,Large,207,1,3,2,36.1
3,Large,207,1,3,3,36
3,Large,207,1,3,4,26
3,Large,207,1,3,5,27.1
3,Large,208,1,3,1,34.5
3,Large,208,1,3,2,34.1
3,Large,208,1,3,3,34.5
3,Large,208,1,3,4,32.4
3,Large,208,1,3,5,28.6
3,Large,209,1,1,1,28.9
3,Large,209,1,1,2,36.9
3,Large,209,1,1,3,34.9
3,Large,209,1,1,4,35.4
3,Large,209,1,1,5,33.2
3,Large,210,19,1,1,47.4
3,Large,210,19,1,2,50.6
3,Large,210,19,1,3,45.1
3,Large,210,19,1,4,51
3,Large,210,19,1,5,51.4
3,Large,211,13,2,1,51.4
3,Large,211,13,2,2,49.3
3,Large,211,13,2,3,50.6
3,Large,211,13,2,4,42.3
3,Large,211,13,2,5,42.8
3,Large,212,3,3,1,23.3
3,Large,212,3,3,2,39.8
3,Large,212,3,3,3,35.6
3,Large,212,3,3,4,35.7
3,Large,212,3,3,5,31.1
3,Large,213,4,2,1,37.1
3,Large,213,4,2,2,42.1
3,Large,213,4,2,3,32.9
3,Large,213,4,2,4,37.9
3,Large,213,4,2,5,34
3,Large,214,5,1,1,37.4
3,Large,214,5,1,2,40.1
3,Large,214,5,1,3,32.2
3,Large,214,5,1,4,38.2
3,Large,214,5,1,5,31.2
3,Large,215,7,2,1,39.2
3,Large,215,7,2,2,41.9
3,Large,215,7,2,3,41.7
3,Large,215,7,2,4,30.6
3,Large,215,7,2,5,36.2
3,Large,216,4,3,1,25.3
3,Large,216,4,3,2,33
3,Large,216,4,3,3,42.4
3,Large,216,4,3,4,30.8
3,Large,216,4,3,5,34.8
3,Large,217,5,3,1,38
3,Large,217,5,3,2,38.7
3,Large,217,5,3,3,37.9
3,Large,217,5,3,4,36.1
3,Large,217,5,3,5,32.4
3,Large,218,2,1,1,38.3
3,Large,218,2,1,2,44.1
3,Large,218,2,1,3,28.2
3,Large,218,2,1,4,28.7
3,Large,218,2,1,5,31.6
3,Large,219,7,2,1,36.9
3,Large,219,7,2,2,38.3
3,Large,219,7,2,3,41.2
3,Large,219,7,2,4,30.6
3,Large,219,7,2,5,33.4
3,Large,220,3,1,1,35.5
3,Large,220,3,1,2,29.4
3,Large,220,3,1,3,36.6
3,Large,220,3,1,4,35
3,Large,220,3,1,5,27
3,Large,221,23,2,1,60.7
3,Large,221,23,2,2,51.2
3,Large,221,23,2,3,52.3
3,Large,221,23,2,4,55.9
3,Large,221,23,2,5,52.5
3,Large,222,6,1,1,36.8
3,Large,222,6,1,2,28.9
3,Large,222,6,1,3,41.5
3,Large,222,6,1,4,32.9
3,Large,222,6,1,5,29.5
4,Small,301,1,2,1,44.1
4,Small,301,1,2,2,45.9
4,Small,301,1,2,3,56.1
4,Small,301,1,2,4,47.1
4,Small,301,1,2,5,35.2
4,Small,302,7,3,1,42.3
4,Small,302,7,3,2,45.4
4,Small,302,7,3,3,56.1
4,Small,302,7,3,4,44.2
4,Small,302,7,3,5,44.9
4,Small,303,9,1,1,46.7
4,Small,303,9,1,2,42.2
4,Small,303,9,1,3,57.8
4,Small,303,9,1,4,41.2
4,Small,303,9,1,5,46.9
4,Small,304,3,1,1,43.9
4,Small,304,3,1,2,42.7
4,Small,304,3,1,3,43.2
4,Small,304,3,1,4,44.9
4,Small,304,3,1,5,36.6
4,Small,305,2,2,1,44.4
4,Small,305,2,2,2,48.2
4,Small,305,2,2,3,41.8
4,Small,305,2,2,4,49.3
4,Small,305,2,2,5,36.9
4,Small,306,13,1,1,58.5
4,Small,306,13,1,2,54.3
4,Small,306,13,1,3,53
4,Small,306,13,1,4,51.3
4,Small,306,13,1,5,46.8
4,Small,307,7,2,1,49.2
4,Small,307,7,2,2,49.6
4,Small,307,7,2,3,50.1
4,Small,307,7,2,4,45.1
4,Small,307,7,2,5,46.7
5,Medium,401,5,3,1,34.7
5,Medium,401,5,3,2,41.1
5,Medium,401,5,3,3,42.3
5,Medium,401,5,3,4,51.2
5,Medium,401,5,3,5,41.7
5,Medium,402,25,2,1,60.2
5,Medium,402,25,2,2,60.6
5,Medium,402,25,2,3,59.2
5,Medium,402,25,2,4,61.8
5,Medium,402,25,2,5,57.4
5,Medium,403,19,2,1,54.5
5,Medium,403,19,2,2,61.5
5,Medium,403,19,2,3,62.4
5,Medium,403,19,2,4,57.8
5,Medium,403,19,2,5,57.3
5,Medium,404,8,2,1,48.3
5,Medium,404,8,2,2,48.7
5,Medium,404,8,2,3,51.6
5,Medium,404,8,2,4,51.6
5,Medium,404,8,2,5,45.7
5,Medium,405,4,2,1,42.4
5,Medium,405,4,2,2,43.6
5,Medium,405,4,2,3,50
5,Medium,405,4,2,4,40.7
5,Medium,405,4,2,5,40.9
5,Medium,406,3,2,1,43.9
5,Medium,406,3,2,2,48.2
5,Medium,406,3,2,3,44.8
5,Medium,406,3,2,4,43.5
5,Medium,406,3,2,5,34.8
5,Medium,407,6,3,1,35.8
5,Medium,407,6,3,2,50.3
5,Medium,407,6,3,3,38.1
5,Medium,407,6,3,4,38.2
5,Medium,407,6,3,5,38.1
5,Medium,408,9,2,1,45.2
5,Medium,408,9,2,2,49
5,Medium,408,9,2,3,47.3
5,Medium,408,9,2,4,45.3
5,Medium,408,9,2,5,43.8
5,Medium,412,6,1,1,41.5
5,Medium,412,6,1,2,47.1
5,Medium,412,6,1,3,46.6
5,Medium,412,6,1,4,45.9
5,Medium,412,6,1,5,35
5,Medium,413,1,2,1,49.2
5,Medium,413,1,2,2,47.1
5,Medium,413,1,2,3,42.7
5,Medium,413,1,2,4,45.2
5,Medium,413,1,2,5,46
5,Medium,414,1,3,1,37.2
5,Medium,414,1,3,2,37.5
5,Medium,414,1,3,3,37.2
